enc,bench,method,top_k,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
bert-base-uncased,scifact,random,20,0,5,0,-0.026756931012250164,0.0,-0.11215519905090332
bert-base-uncased,scifact,greedy,1,0,5,0,0.02525252525252525,0.23540891336663824,0.03482842445373535
bert-base-uncased,scifact,greedy,10,0,5,0,0.02525252525252525,0.23540891336663824,0.03482842445373535
bert-base-uncased,scifact,greedy,20,1,5,0,0.02525252525252525,0.23540891336663824,0.03482842445373535
bert-base-uncased,scifact,ggpp,1,0,5,0,0.4696969696969697,0.6309297535714575,0.07175159454345703
bert-base-uncased,scifact,ggpp,10,1,5,0,0.4696969696969697,0.6309297535714575,0.07175159454345703
bert-base-uncased,scifact,ggpp,20,1,5,0,0.4696969696969697,0.6309297535714575,0.07175159454345703
bert-base-uncased,scifact,de,1,0,1,30,0.02525252525252525,0.23540891336663824,0.022304058074951172
bert-base-uncased,scifact,de,10,0,1,30,0.02525252525252525,0.23540891336663824,0.022304058074951172
bert-base-uncased,scifact,de,20,1,1,30,0.02525252525252525,0.23540891336663824,0.022304058074951172
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,7.70185152510663e-05,0.0,-0.06460213661193848
bert-base-uncased,scifact,random,10,0,5,0,7.70185152510663e-05,0.0,-0.06460213661193848
bert-base-uncased,scifact,random,20,0,5,0,7.70185152510663e-05,0.0,-0.06460213661193848
bert-base-uncased,scifact,greedy,1,0,5,0,0.010619230510073446,0.0,-0.06723994016647339
bert-base-uncased,scifact,greedy,10,0,5,0,0.010619230510073446,0.0,-0.06723994016647339
bert-base-uncased,scifact,greedy,20,0,5,0,0.010619230510073446,0.0,-0.06723994016647339
bert-base-uncased,scifact,ggpp,1,0,5,0,0.014479524627720505,0.0,-0.08004653453826904
bert-base-uncased,scifact,ggpp,10,0,5,0,0.014479524627720505,0.0,-0.08004653453826904
bert-base-uncased,scifact,ggpp,20,0,5,0,0.014479524627720505,0.0,-0.08004653453826904
bert-base-uncased,scifact,de,1,0,4,150,0.057678054039485206,0.23981246656813146,-0.09209829568862915
bert-base-uncased,scifact,de,10,0,4,150,0.057678054039485206,0.23981246656813146,-0.09209829568862915
bert-base-uncased,scifact,de,20,1,4,150,0.057678054039485206,0.23981246656813146,-0.09209829568862915
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,1,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.045454545454545456,-0.27894294565112987,-0.05371379852294922
bert-base-uncased,scifact,random,10,0,5,0,-0.045454545454545456,-0.27894294565112987,-0.05371379852294922
bert-base-uncased,scifact,random,20,0,5,0,-0.045454545454545456,-0.27894294565112987,-0.05371379852294922
bert-base-uncased,scifact,greedy,1,0,5,0,-0.024242424242424246,-0.02894294565112987,-0.09234869480133057
bert-base-uncased,scifact,greedy,10,0,5,0,-0.024242424242424246,-0.02894294565112987,-0.09234869480133057
bert-base-uncased,scifact,greedy,20,1,5,0,-0.024242424242424246,-0.02894294565112987,-0.09234869480133057
bert-base-uncased,scifact,ggpp,1,1,5,0,0.9090909090909091,0.7210570543488701,-0.0071149468421936035
bert-base-uncased,scifact,ggpp,10,1,5,0,0.9090909090909091,0.7210570543488701,-0.0071149468421936035
bert-base-uncased,scifact,ggpp,20,1,5,0,0.9090909090909091,0.7210570543488701,-0.0071149468421936035
bert-base-uncased,scifact,de,1,0,1,1,0.020202020202020193,0.022087050012851328,0.003224015235900879
bert-base-uncased,scifact,de,10,1,1,1,0.020202020202020193,0.022087050012851328,0.003224015235900879
bert-base-uncased,scifact,de,20,1,1,1,0.020202020202020193,0.022087050012851328,0.003224015235900879
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
